DateSampled,Year,Site,LabID,DetectionLimit,Ammonium_mgL,Calcium_ICP,Chloride,Magnesium_ICP,Nitrate_N,Phosphate_P,Sodium_ICP,Total_Nitrogen,Total _Phosphorus
05/11/18,2018,3,1805-03,,-0.02,,,,0.62,0.003,,0.79,0.018
05/11/18,2018,4,1805-04,,-0.02,,,,0.66,0.004,,0.8,0.018
05/11/18,2018,5,1805-05,,-0.02,,,,0.69,0.003,,0.85,0.019
05/11/18,2018,6,1805-06,,0.11,,,,2.08,0.023,,2.49,0.083
05/11/18,2018,7,1805-07,,-0.02,,,,0.64,0.003,,0.72,0.018
05/11/18,2018,8,1805-08,,0.08,,,,0.41,-0.002,,0.77,0.022
05/11/18,2018,9,1805-09,,-0.02,,,,0.35,-0.002,,0.38,0.012
05/11/18,2018,10,1805-10,,-0.02,,,,0.4,0.002,,0.49,0.014
05/11/18,2018,11,1805-11,,0.02,,,,0.3,0.005,,0.45,0.024
05/11/18,2018,12,1805-12,,-0.02,,,,0.14,0.004,,0.28,0.019
05/11/18,2018,14,1805-14,,-0.02,,,,0.51,0.002,,0.52,0.011
06/08/18,2018,1,1806-01,,-0.02,,,,1.2,0.01,,1.28,0.039
06/08/18,2018,2,1806-2A,,-0.02,,,,1.26,0.01,,1.38,0.046
06/08/18,2018,3,1806-03,,-0.02,,,,1.11,0.004,,1.21,0.025
06/08/18,2018,4,1806-04,,-0.02,,,,1.11,0.004,,1.21,0.02
06/08/18,2018,5,1806-05,,0.02,,,,1.19,0.003,,1.37,0.017
06/08/18,2018,6,1806-06,,0.03,,,,2.45,0.014,,2.56,0.06
06/08/18,2018,7,1806-07,,0.03,,,,1.14,0.002,,1.21,0.015
06/08/18,2018,8,1806-08,,-0.02,,,,0.89,0.003,,1.2,0.018
06/08/18,2018,9,1806-09,,-0.02,,,,0.4,0.003,,0.43,0.014
06/08/18,2018,10,1806-10,,-0.02,,,,0.56,0.003,,0.58,0.018
06/08/18,2018,11,1806-11,,0.03,,,,0.47,0.004,,0.53,0.015
06/08/18,2018,12,1806-12,,-0.02,,,,0.23,0.006,,0.32,0.015
06/08/18,2018,14,1806-14,,-0.02,,,,0.4,0.002,,0.37,0.008
